electrode,shank,shank_column,shank_row,x_um,y_um
874,0,0,437,8,6555
875,0,1,437,40,6555
876,0,0,438,8,6570
877,0,1,438,40,6570
878,0,0,439,8,6585
879,0,1,439,40,6585
880,0,0,440,8,6600
881,0,1,440,40,6600
882,0,0,441,8,6615
883,0,1,441,40,6615
884,0,0,442,8,6630
885,0,1,442,40,6630
886,0,0,443,8,6645
887,0,1,443,40,6645
888,0,0,444,8,6660
889,0,1,444,40,6660
890,0,0,445,8,6675
891,0,1,445,40,6675
892,0,0,446,8,6690
893,0,1,446,40,6690
894,0,0,447,8,6705
895,0,1,447,40,6705
896,0,0,448,8,6720
897,0,1,448,40,6720
898,0,0,449,8,6735
899,0,1,449,40,6735
900,0,0,450,8,6750
901,0,1,450,40,6750
902,0,0,451,8,6765
903,0,1,451,40,6765
904,0,0,452,8,6780
905,0,1,452,40,6780
906,0,0,453,8,6795
907,0,1,453,40,6795
908,0,0,454,8,6810
909,0,1,454,40,6810
910,0,0,455,8,6825
911,0,1,455,40,6825
912,0,0,456,8,6840
913,0,1,456,40,6840
914,0,0,457,8,6855
915,0,1,457,40,6855
916,0,0,458,8,6870
917,0,1,458,40,6870
918,0,0,459,8,6885
919,0,1,459,40,6885
920,0,0,460,8,6900
921,0,1,460,40,6900
922,0,0,461,8,6915
923,0,1,461,40,6915
924,0,0,462,8,6930
925,0,1,462,40,6930
926,0,0,463,8,6945
927,0,1,463,40,6945
928,0,0,464,8,6960
929,0,1,464,40,6960
930,0,0,465,8,6975
931,0,1,465,40,6975
932,0,0,466,8,6990
933,0,1,466,40,6990
934,0,0,467,8,7005
935,0,1,467,40,7005
936,0,0,468,8,7020
937,0,1,468,40,7020
938,0,0,469,8,7035
939,0,1,469,40,7035
940,0,0,470,8,7050
941,0,1,470,40,7050
942,0,0,471,8,7065
943,0,1,471,40,7065
944,0,0,472,8,7080
945,0,1,472,40,7080
946,0,0,473,8,7095
947,0,1,473,40,7095
948,0,0,474,8,7110
949,0,1,474,40,7110
950,0,0,475,8,7125
951,0,1,475,40,7125
952,0,0,476,8,7140
953,0,1,476,40,7140
954,0,0,477,8,7155
955,0,1,477,40,7155
956,0,0,478,8,7170
957,0,1,478,40,7170
958,0,0,479,8,7185
959,0,1,479,40,7185
960,0,0,480,8,7200
961,0,1,480,40,7200
962,0,0,481,8,7215
963,0,1,481,40,7215
964,0,0,482,8,7230
965,0,1,482,40,7230
966,0,0,483,8,7245
967,0,1,483,40,7245
968,0,0,484,8,7260
969,0,1,484,40,7260
970,0,0,485,8,7275
971,0,1,485,40,7275
972,0,0,486,8,7290
973,0,1,486,40,7290
974,0,0,487,8,7305
975,0,1,487,40,7305
976,0,0,488,8,7320
977,0,1,488,40,7320
978,0,0,489,8,7335
979,0,1,489,40,7335
980,0,0,490,8,7350
981,0,1,490,40,7350
982,0,0,491,8,7365
983,0,1,491,40,7365
984,0,0,492,8,7380
985,0,1,492,40,7380
986,0,0,493,8,7395
987,0,1,493,40,7395
988,0,0,494,8,7410
989,0,1,494,40,7410
990,0,0,495,8,7425
991,0,1,495,40,7425
992,0,0,496,8,7440
993,0,1,496,40,7440
994,0,0,497,8,7455
995,0,1,497,40,7455
996,0,0,498,8,7470
997,0,1,498,40,7470
998,0,0,499,8,7485
999,0,1,499,40,7485
1000,0,0,500,8,7500
1001,0,1,500,40,7500
1002,0,0,501,8,7515
1003,0,1,501,40,7515
1004,0,0,502,8,7530
1005,0,1,502,40,7530
1006,0,0,503,8,7545
1007,0,1,503,40,7545
1008,0,0,504,8,7560
1009,0,1,504,40,7560
1010,0,0,505,8,7575
1011,0,1,505,40,7575
1012,0,0,506,8,7590
1013,0,1,506,40,7590
1014,0,0,507,8,7605
1015,0,1,507,40,7605
1016,0,0,508,8,7620
1017,0,1,508,40,7620
1018,0,0,509,8,7635
1019,0,1,509,40,7635
1020,0,0,510,8,7650
1021,0,1,510,40,7650
1022,0,0,511,8,7665
1023,0,1,511,40,7665
1024,0,0,512,8,7680
1025,0,1,512,40,7680
1026,0,0,513,8,7695
1027,0,1,513,40,7695
1028,0,0,514,8,7710
1029,0,1,514,40,7710
1030,0,0,515,8,7725
1031,0,1,515,40,7725
1032,0,0,516,8,7740
1033,0,1,516,40,7740
1034,0,0,517,8,7755
1035,0,1,517,40,7755
1036,0,0,518,8,7770
1037,0,1,518,40,7770
1038,0,0,519,8,7785
1039,0,1,519,40,7785
1040,0,0,520,8,7800
1041,0,1,520,40,7800
1042,0,0,521,8,7815
1043,0,1,521,40,7815
1044,0,0,522,8,7830
1045,0,1,522,40,7830
1046,0,0,523,8,7845
1047,0,1,523,40,7845
1048,0,0,524,8,7860
1049,0,1,524,40,7860
1050,0,0,525,8,7875
1051,0,1,525,40,7875
1052,0,0,526,8,7890
1053,0,1,526,40,7890
1054,0,0,527,8,7905
1055,0,1,527,40,7905
1056,0,0,528,8,7920
1057,0,1,528,40,7920
1058,0,0,529,8,7935
1059,0,1,529,40,7935
1060,0,0,530,8,7950
1061,0,1,530,40,7950
1062,0,0,531,8,7965
1063,0,1,531,40,7965
1064,0,0,532,8,7980
1065,0,1,532,40,7980
1066,0,0,533,8,7995
1067,0,1,533,40,7995
1068,0,0,534,8,8010
1069,0,1,534,40,8010
1070,0,0,535,8,8025
1071,0,1,535,40,8025
1072,0,0,536,8,8040
